11-meterplet	straffesparksplet
altid	konstant;evindelig
alting	alt (sammen);det hele
altmuligmand	handyman
altmuligmand	gør det selv-mand;handyman
altnøgle	bratschnøgle
altomsiggribende	altomfattende
altovervejende	især
altruisme	uselviskhed
altruistisk	uselvisk
altsaxofon	altsax
altstemme	alt
altså	ergo;følgelig;således
altså	vel at mærke;forstås
alttast	alt;ALT;Alt
altædende	altfortærende
alubakke	foliebakke
alufolie	stanniol;aluminiumsfolie
alufælg	aluminiumsfælg
aluminiumsfolie	stanniol;alufolie
alun	kalialun;kaliumaluminiumsulfat
alunrod	Heuchera
alverden	al landsens
alverden	meget
alvorlighed	alvor
alzheimers	Alzheimers sygdom
Alzheimers sygdom	Alzheimer
am.	amr.;amer.
amager	amagerkaner
amagerkaner	amager
amalgamere	smelte sammen
amalgamfyldning	amalgamplombe;sølvplombe
amalgamplombe	sølvplombe;amalgamfyldning
amarant	Lagonosticta
amarant	Amaranthus
amaryllis	de fire verdenshjørner;ridderstjerne;Hippeastrum
amatør	dilettant
amatøragtig	dilettantisk;uprofessionel
amatørbestemmelse	amatørregel
amatørcykelrytter	amatørrytter
amatørfotografi	amatørfoto
amatørregel	amatørbestemmelse
ambassadrice	ambassadørfrue
ambassadørfrue	ambassadrice
ambidekstral	ligehåndet
ambient	ambientmusik
ambitus	omfang
ambivalent	splittet
ambra	Artemisia abrotanum;ambrabusk
ambratræ	Liquidambar
ambrosie	Ambrosia
ambulancelæge	udrykningslæge
ambulancepersonale	ambulancefolk
ambulant	ambulatorisk
AMD	aldersrelateret makuladegeneration
amer.	am.;amr.
amfetamin	amf;speed;fattigmandskokain
amme	die
ammonit	Ammonoidea
ammoniumkarbonat	hjortetaksalt
amnesi	hukommelsestab
AMO	arbejdsmiljøorganisation
amorf	formløs
amorin	erot;cupido
amortisation	amortisering
amortisering	amortisation
amourøs	erotisk
amputation	amputering
amputering	amputation
AMR	arbejdsmiljørepræsentant
amr.	am.;amer.
amt	amtskommune;sekundærkommune
amtscentral	amtscenter for undervisning
amtshospital	psykiatrihospital;statshospital
amtskommunal	amtslig
amtskommune	amt
amtslig	amtskommunal
amtspolitiker	amtsrådsmedlem;amtsrådspolitiker
amtsrådsmedlem	amtspolitiker;amtsrådspolitiker
amtsrådspolitiker	amtsrådsmedlem;amtspolitiker
amøbe	Sarcodina
anabaptist	gendøber
anakonda	Eunectes murinus
analog	lignende;tilsvarende
analogi	parallel
analogisk	analog
analogsignal	analogt signal
analsex	analt samleje
analyseinstitut	meningsmålingsinstitut
analysering	analyse
ananaskirsebær	Physalis peruviana
ananaskirsebær	japanlygte
anarkisk	anarkistisk
anarkisme	anarki
anarkistisk	anarkisk
anbefale	rekommandere
anbefalet	rekommanderet
anbefaling	råd;rekommandation
anbefaling	reference
anbefalingsskrivelse	anbefalingsbrev
anbringe	stille;placere
anbringe	investere
and	Anatinae
andagt	andægtighed
andagtsfuld	andægtig
andefugl	Anatidae
andelsboligforening	andelsforening
andelsforening	andelsselskab
andelsforening	andelsboligforening
andelsselskab	andelsforening
andemad	Lemna
andenakse	y-akse;ordinatakse
andenbedst	næstbedst
andenbold	returbold
andenklasses	andenrangs
andenklassesborger	andenrangsborger
andenpilot	copilot
andenrangs	andenklasses
andenrangsborger	andenklassesborger
andensidst	næstsidst
andenstørst	næststørst
anderumpe	anderumpefrisure
anderumpefrisure	anderumpe
andethold	B-hold
androgyni	tvekønnethed
andægtig	andægtighed;andagtsfuld
andægtighed	andagt
ane	have en idé om;have en anelse om
ane	vide
anelse	antydning
anemometer	vindmåler
anemone	Anemone
anemone	hvid anemone;Anemone nemorosa
anerkende	påskønne
anerkendelsesværdig	prisværdig
anfægte	sætte spørgsmålstegn ved
anfægtelse	skrupler
anføre	angive
anføre	nævne
anførelse	anførsel
anførsel	anførelse
anførselstegn	citationstegn;gåseøjne
angakok	åndemaner
angelbo	angler
angelik	Angelica
angelsaksisk	oldengelsk
anger	ruelse
angerfuld	angergiven
angergiven	angerfuld
angina	halsbetændelse
angive	anføre
angive	melde;anmelde
angler	angelbo
anglificere	anglisere
angora	angorauld
angoraged	Capra angorensis
angorauld	angora
angostura	angosturabitter
angosturabitter	angostura
angribe	overfalde;gå løs på
angstfremkaldende	angstprovokerende
angstfuld	angstfyldt
angstfyldt	angstfuld
angstprovokerende	angstfremkaldende
angå	gælde;vedrøre
angå	vedkomme;vedrøre
angående	vedrørende;i forbindelse med
angående	med hensyn til;hvad angår
anhang	appendiks
anholde	arrestere
anholdelse	arrestation
anhænger	påhængsvogn;hænger
anhængertræk	træk
anilin	benzenamin
anilinfarve	tjærefarve
animalsk	dyrisk
animation	animering
animere	sætte gang i
animeret	livlig
animering	levendegørelse
anke	appel
anke	indvending
anke	appellere
ankelled	fodled
ankelsok	ankelstrømpe
ankelstrømpe	ankelsok
ankesag	appelsag
anklage	beskyldning
anklage	tiltale
anklage	beskylde
anknytning	tilknytning
ankomme	indfinde sig;arrivere
ankre	kaste anker
ankring	kaste anker
anledning	foranledning
anledning	mulighed;lejlighed
anliggende	ærinde
anlæg	anlæggelse
anlæg	arveanlæg
anlægge	lægge an
anlæggelse	anlæg
anlægsomkostning	anlægsudgift
anlægspræg	genotype
anlægsudgift	anlægsomkostning
anløbsplads	anløbssted
anløbssted	anløbsplads
anmassende	påtrængende
anmelde	indberette
anmelde	bebude;annoncere
anmelde	recensere
anmeldelse	recension
anmeldelsespligt	anmeldepligt;meldepligt
anmeldepligt	anmeldelsespligt
anmelder	kritiker;recensent
anmelderi	anmeldelse
anmode	bede
annal	årbog
annamme	lære
anneksion	annektering;indlemmelse
annektere	indlemme
annektering	anneksion
anno	år;i året
anno Domini	i det Herrens år
annonce	avertissement
annoncere	bekendtgøre;melde
annoncere	avertere
annoncering	avertering
annoncering	bekendtgørelse;bebudelse
annotation	annotering
annotering	annotation
annullation	annullering
annullere	sløjfe
annullering	annullation
annus horribilis	rædselsår;katastrofeår
anodisere	eloxere®
anodisering	eloxering
anonym	unavngiven
anordne	dekretere;foranstalte
anordning	indretning
anordning	bekendtgørelse
anoreksi	(nervøs) spisevægring
anormal	unormal
anormalitet	unormalitet
anpartskapital	anpartshaverkapital
anrette	rette an
anrette	forvolde
anråb	anråbelse
anråbe	bønfalde
anråbe	råbe an
anråbelse	bøn;påkaldelse;anråb
anråbelse	bøn;anråb
ansamling	ophobning
ansats	tilløb;begyndelse
anse	regne
anseelig	betydelig
anseelig	betydelig;bemærkelsesværdig
anseelse	agtelse
anset	agtet;velestimeret
an sich	i sig selv
ansigt	fjæs;åsyn
ansigt	ansigtsudtryk;fjæs
ansigt	fremtoning
ansigt	væsen
ansigt	skikkelse
ansigtsblindhed	prosopagnosi
ansigtsfarve	ansigtskulør
ansigtskulør	ansigtsfarve
ansigtsløftning	facelift
ansigtsløs	anonym
ansigtstræk	træk
ansigtsudtryk	mine
ansjos	Engraulis encrasicholus
anskaffe	erhverve
anskaffelsespris	anskaffelsessum
anskue	betragte
anskuelig	klar
anskuelighedsundervisning	anskuelsesundervisning
anskuelsesundervisning	anskuelighedsundervisning
anslå	skønne
anslå	slå an
anslå	bringe på bane
anslå	excitere
anspore	animere;stimulere
ansporing	animering
anspænde	anstrenge
anspændelse	anspændthed
anspændelse	anstrengelse
anspændt	kritisk
anspændthed	anspændelse
anstalt	fængsel
anstand	henstand
anstifter	ophavsmand
anstrengelse	anspændelse
anstrengelse	bestræbelse
anstrengt	forceret
anstrøg	snert;skær
anstændig	sømmelig;velanstændig
anstændig	hæderlig;ordentlig;rimelig
anstød	forargelse
anstødelig	forargelig
anstødssten	forhindring
anstødssten	anledning
ansvarlig	ansvarsbevidst
ansvarsbevidst	ansvarlig;ansvarsfuld
ansvarsfuld	ansvarlig
ansvarsløs	uansvarlig
ansvarsløshed	uansvarlighed
ansætning	frugtsætning
ansætte	hyre;antage
ansættelsesbrev	ansættelseskontrakt
ansættelsesforhold	arbejdsforhold
ansættelsesforhold	ansættelsesvilkår
ansættelseskontrakt	ansættelsesbrev
ansættelsessamtale	jobsamtale;jobinterview
ansættelsesvilkår	ansættelsesforhold
ansøge	søge
ansøger	supplikant
ansøgning	andragende
antage	regne med
antage	sætte
antage	ændre sig til
antage	tage
antage	acceptere
antagelig	betydelig(t)
antagelig	antageligvis
antageligvis	antagelig
antagelse	accept
antagonist	modstander;rival
antaste	tilsidesætte;krænke
antedatere	tilbagedatere
antediluviansk	oldnordisk
antegne	notere
antenne	følehorn
antependium	alterbordsforhæng
anticyklon	højtryksområde
antidepressionspille	depressionspille;lykkepille
antidot	modgift;antifarmakon
antifarmakon	modgift;antidot
antifonale	antifonar
antifonar	antifonale
antik	græsk-romersk oldtid;klassisk oldtid
antik	antikveret
antiklimaks	nedtur
antikonception	prævention
antikonceptionel	svangerskabsforebyggende
antikonceptionsmiddel	præventionsmiddel
antikvar	antikvarboghandler
antikvarboghandel	antikvariat
antikvarboghandler	antikvar
antikvariat	antikvarboghandel
antikveret	antik
antikvitetsforretning	antikvitetshandel
antikvitetshandel	antikvitetsforretning
antipati	aversion
antipersonelmine	personelmine
antipodist	fodjonglør
antirynkecreme	rynkecreme
antisemitisme	jødehad
antiskælshampoo	skælshampoo
antisocial	samfundsfjendtlig
antistof	modstof;immunglobulin
antisvedisme	svenskerhad
antivirus	antivirusprogram;virusprogram
antracit	antracitgrå;koksgrå
antracitgrå	antracit;koksgrå
antropofag	kannibal;menneskeæder
antropofagi	kannibalisme;menneskeæderi
anus	endetarmsåbning
anvende	bruge
anvendelig	brugbar
anvendelighed	brugbarhed
anvendelse	brug
anvendelsesmulighed	brugsmulighed
anvisning	boliganvisning
anvisning	postanvisning
anæmi	blodmangel
anæmisk	blodfattig
anæstesi	bedøvelse
anæstesilæge	narkoselæge;anæstesiolog
anæstesiolog	narkoselæge;anæstesilæge
anæstesisygeplejerske	narkosesygeplejerske
anæstetikum	anæstesimiddel
anæstetisk	bedøvende
A-officer	linjeofficer
aorta	legemspulsåre
apanage	årpenge
aparte	mærkelig;særegen
apartheid	raceadskillelse
apatisk	sløv
apokalypse	undergang
